TCI,Rejection Threshold,H0 Rejected
0.09086059519300826,0.06796630407697153,1.0
0.07669245556305121,0.050013050562312665,1.0
0.031236535450779725,0.04606469443873514,0.0
0.027721797827242885,0.048599931288586154,0.0
0.04996494452707436,0.060555411759831625,0.0
0.04468359690520328,0.047704210959324526,0.0
0.021158728440249446,0.05211118945095584,0.0
0.10290375106352433,0.054554216285803855,1.0
0.0367660214793215,0.05724112560327988,0.0
0.031121601806852674,0.0535920118872328,0.0
0.06762887921284841,0.056809391914844645,1.0
0.03808260441636052,0.052052586645932576,0.0
0.04313592886499684,0.05193209476299953,0.0
0.048848135646985834,0.05943783484052302,0.0
0.05068786799299458,0.056292140970391945,0.0
0.04044658588165231,0.05256582280127868,0.0
0.029889138018986912,0.05264279072441971,0.0
0.04747851438305558,0.050465181326551124,0.0
0.038028413308897654,0.05295806370963655,0.0
0.04575326448090465,0.05677525024029039,0.0
0.03633217878922724,0.053088209888145436,0.0
0.06480431047282828,0.05317754725468569,1.0
0.04217889459948111,0.052204509835397706,0.0
0.04693158351303122,0.05590850961300147,0.0
0.0396087492392705,0.054014918938853386,0.0
0.03009127748887818,0.04740341075283272,0.0
0.03071406848318379,0.04701537721886348,0.0
0.054612995056631225,0.05175712153003467,1.0
0.058855306939602975,0.05661699215627022,1.0
0.014743095192812413,0.0465994722033045,0.0
0.03040225549197087,0.04916805731111882,0.0
0.05175469618060559,0.04792246048803208,1.0
0.03722179090824858,0.04659174935805237,0.0
0.03888754278405725,0.0464291572370478,0.0
0.05412094608542957,0.05654471370248001,0.0
0.055251271605699426,0.05449564071238233,1.0
0.04258785609532403,0.06220276739350763,0.0
0.04232523845116112,0.05506061744613039,0.0
0.06964428067696396,0.0536522347429295,1.0
0.034088385849272464,0.05365305737167415,0.0
0.047819351972941015,0.05507182196255183,0.0
0.04350385797460191,0.05536202333085906,0.0
0.026313998718991333,0.05270978290584826,0.0
0.05455988310824467,0.050703411175494845,1.0
0.07327723720757982,0.05593267295651277,1.0
0.04083829993447921,0.061938277407996664,0.0
0.1413761338364556,0.060242638902543506,1.0
0.03656221648837895,0.05571669809256182,0.0
0.03776791740285062,0.0579058150700039,0.0
0.028998789413494725,0.054028876326490755,0.0
0.08894054284324739,0.06404415097895444,1.0
0.050759531280244574,0.04649928958641285,1.0
0.03091678134351714,0.04557226426276801,0.0
0.05807232476222421,0.05656062344830556,1.0
0.04459454658734091,0.051519245484949565,0.0
0.05289427178513259,0.0520958909035254,1.0
0.04839860753017194,0.05040670768135247,0.0
0.03716992292848025,0.05423753402600331,0.0
0.041164311224814086,0.047191536412519705,0.0
0.03846274689897394,0.058969027430580384,0.0
0.04085976500349887,0.055481509874290985,0.0
0.07420211270524145,0.054531114666216914,1.0
0.06421640269442085,0.05585366520868227,1.0
0.027357483906627192,0.05070520240877493,0.0
0.06969825291715567,0.0569526527544948,1.0
0.0429883005820539,0.05382229888146676,0.0
0.04798151761445861,0.061510437182080054,0.0
0.06676728281208556,0.049529968539894643,1.0
0.08655385067577676,0.06022631499902424,1.0
0.062578800908346,0.05411534498572453,1.0
0.0459317079859789,0.05159321986418152,0.0
0.030498367528845695,0.05084098263428497,0.0
0.08007352024016814,0.061303551354032586,1.0
0.03091533948841767,0.0553086740251881,0.0
0.0526029973103548,0.058545155343671725,0.0
0.07866145562073928,0.05726837169055449,1.0
0.07860600569757512,0.0442017200516105,1.0
0.04715373213478735,0.056478753689279466,0.0
0.06928257822404371,0.054245486327134815,1.0
0.06963515118905272,0.054207707037244826,1.0
0.04427027695704149,0.04845657667965055,0.0
0.044642188776028026,0.055478025734892536,0.0
0.03348442430762353,0.04707111948136955,0.0
0.04260314485006688,0.05244279940078495,0.0
0.07481490469931036,0.05573917512744864,1.0
0.042673764056934176,0.0685074242073923,0.0
0.06272162727032697,0.05505206742843958,1.0
0.04120341597450491,0.050810201262380596,0.0
0.05069586684439782,0.04800392322871404,1.0
0.046615583271509664,0.052168255475950456,0.0
0.08890094927614155,0.05381801658725191,1.0
0.07984326155287345,0.04442886460290199,1.0
0.051739626717265494,0.049567788402440326,1.0
0.04695370629420489,0.046082075094158154,1.0
0.09283322717092743,0.05881992818170179,1.0
0.05100006301162553,0.04457125309152915,1.0
0.03768482607910863,0.057172141838109286,0.0
0.06484662605165468,0.054478250266815485,1.0
0.0563023375110674,0.06170221982573188,0.0
0.033495517687159485,0.05250271269653648,0.0
0.04272758699329393,0.054612732951719936,0.0
